filename,num_vars,num_clauses,avg_clause_length,var_counts_sum,solve_result,solve_runtime,clause_to_var_ratio,clause_density,max_clause_length,min_clause_length,clause_length_std,max_var_occurrences,min_var_occurrences,var_occurrence_std,var_density,avg_var_per_clause,literal_count,literal_to_clause_ratio
7853e2d2e64015f2aa08678e5c43a339-vlsat2_702_14170.cnf,70288,14170788,2.0045568390409905,28406150,TIMEOUT,1800.0970022678375,201.61034600500795,0.498863379937091,92,1,0.6336625701450069,760,10,196.02344129475395,404.1393979057591,2.0045568390409905,28406150,2.0045568390409905
064fe286277f695f42b556ef991036ff-sin_depth_miter_2.cnf,120692,512616,2.931207765656944,1502584,TIMEOUT,1800.034094333649,4.247307195174494,0.3411563014114352,5,1,0.6268006827916427,105538,0,517.3701711498647,12.44973983362609,2.931207765656944,1502584,2.931207765656944
594b07c07aee036a7aca35d44e2316da-div-mitern168.cnf,4576,19554,2.902935460775289,56764,UNSAT,466.686235666275,4.273164335664336,0.3444788950743429,5,1,0.8273160529787796,689,0,25.931587214846623,12.40472027972028,2.902935460775289,56764,2.902935460775289
7adc1ade3384505af00ff8f7be23f5bd-ex175_20.cnf,895721,17589537,3.388781012257457,59607089,SAT,211.15203523635864,19.63729442538469,0.2950913606936919,4,1,0.5972357562051599,1191,0,238.2675102220937,66.54797638944245,3.3887810122574575,59607089,3.3887810122574575
c5ae0ec49de0959cd14431ce851c14f8-Circuit_multiplier22.cnf,1013,18793,6.436385888362688,120959,SAT,195.5808231830597,18.55182625863771,0.1553666944997891,25,2,2.107626652011589,984,0,122.58231086165368,119.40671273445211,6.436385888362688,120959,6.436385888362688
709d0994d0c356b339b051a8e62d998a-bv-term-small-rw_206.smt2.cnf,7464,22451,2.35174379760367,52799,TIMEOUT,1800.0180535316467,3.007904608788853,0.42521638667399,3,1,0.4777010197124492,184,1,7.232699399130922,7.07382100750268,2.35174379760367,52799,2.35174379760367
09f4f1e3047315b5ef2690fffb7ccf7a-ssAES_4-4-4_round_7-10_faultAt_7_fault_injections_2_seed_1564286498.cnf,7671,27215,2.6648906852838508,72525,TIMEOUT,1800.019199371338,3.547777343240777,0.3752499138228197,5,1,0.599031708411885,38,1,5.501656442925025,9.456904420393792,2.6648906852838508,72525,2.6648906852838508
019dc69c96737c3d62696c9acf3edf1b-T107.2.0.cnf,3113734,10746462,2.575342098636742,27675816,UNSAT,232.97407698631287,3.451310227527464,0.3882979276925385,207,2,0.6466251035486492,9441,2,37.52764708747947,8.88830452440703,2.575342098636742,27675816,2.575342098636742
a17efb89fadde5be43b05cf36181f6ba-sdiv30prop.cnf,12254,36146,2.333314889614342,84340,TIMEOUT,1800.0196261405945,2.949730700179533,0.4285748162200616,3,1,0.4714566842592705,184,2,7.464246160531645,6.882650563081443,2.333314889614342,84340,2.333314889614342
ab3dfe46aee7bfeb8301de497f36a05a-Kakuro-easy-052-ext.xml.hg_4.cnf,60358,5077475,3.541305471715764,17980890,SAT,40.39832448959351,84.12265151264124,0.2823817397247856,4,1,0.5320323126571611,880,1,328.4190255261817,297.90400609695484,3.541305471715764,17980890,3.541305471715764
